Title,Genre,Premiere,Runtime,IMDB Score,Language,Year,Month,DayOfWeek,Quarter
Porta dos Fundos: The First Temptation of Christ,Comedy,2019-12-03,46,4.6,Portuguese,2019,12,Tue,4
Rattlesnake,Horror,2019-10-25,85,4.6,English,2019,10,Fri,4
The Players,Comedy,2020-07-15,88,4.6,Italian,2020,7,Wed,3
We Are One,Documentary,2020-07-14,86,4.6,French,2020,7,Tue,3
Finding Agnes,Drama,2020-11-30,105,4.7,Filipino,2020,11,Mon,4
IO,Science_fiction/Drama,2019-01-18,95,4.7,English,2019,1,Fri,1
Sentinelle,Action,2021-03-05,80,4.7,French,2021,3,Fri,1
Sol Levante,Anime/Short,2020-04-02,4,4.7,English,2020,4,Thu,2
The Binding,Drama,2020-10-02,93,4.7,Italian,2020,10,Fri,4
We Can Be Heroes,Superhero,2020-12-25,100,4.7,English,2020,12,Fri,4
Christmas Crossfire,Thriller,2020-12-04,106,4.8,German,2020,12,Fri,4
Coin Heist,Heist,2017-01-06,97,4.8,English,2017,1,Fri,1
Mrs. Serial Killer,Thriller,2020-05-01,106,4.8,Hindi,2020,5,Fri,2
Nobody Sleeps in the Woods Tonight,Horror,2020-10-28,103,4.8,Polish,2020,10,Wed,4
Take the 10,Comedy,2017-01-20,80,4.8,English,2017,1,Fri,1
The Main Event,Comedy,2020-04-10,101,4.8,English,2020,4,Fri,2
The Ridiculous 6,Western,2015-12-11,119,4.8,English,2015,12,Fri,4
Earth and Blood,Action,2020-04-17,80,4.9,French,2020,4,Fri,2
Fearless,Animation/Superhero,2020-08-14,89,4.9,English,2020,8,Fri,3
Holiday Rush,Family,2019-11-28,94,4.9,English,2019,11,Thu,4
The Day of the Lord,Drama,2020-10-30,93,4.9,Spanish,2020,10,Fri,4
Airplane Mode,Comedy,2020-01-23,96,5.0,Portuguese,2020,1,Thu,1
How It Ends,Action/Thriller,2018-07-13,113,5.0,English,2018,7,Fri,3
Love Like the Falling Rain,Drama,2020-10-15,86,5.0,Indonesian,2020,10,Thu,4
Rebirth,Thriller,2016-07-15,100,5.0,English,2016,7,Fri,3
Squared Love,Romantic/Comedy,2021-02-11,102,5.0,Polish,2021,2,Thu,1
Cadaver,Horror,2020-10-22,86,5.1,Norwegian,2020,10,Thu,4
Clinical,Thriller,2017-01-13,104,5.1,English,2017,1,Fri,1
Coffee & Kareem,Action/Comedy,2020-04-03,88,5.1,English,2020,4,Fri,2
Dude,Teen/Comedy/Drama,2018-04-20,97,5.1,English,2018,4,Fri,2
Geez & Ann,Romantic/Drama,2021-02-25,105,5.1,Indonesian,2021,2,Thu,1
The Larva Island Movie,Animation,2020-07-23,90,5.1,English,2020,7,Thu,3
#REALITYHIGH,Comedy,2017-09-08,99,5.2,English,2017,9,Fri,3
American Factory: A Conversation with the Obamas ,Aftershow/Interview,2019-08-21,10,5.2,English,2019,8,Wed,3
Desperados,Romantic/Comedy,2020-07-03,106,5.2,English,2020,7,Fri,3
Dolly Parton's Christmas on the Square,Christmas/Musical,2020-11-22,98,5.2,English,2020,11,Sun,4
Father of the Year,Comedy,2018-07-20,94,5.2,English,2018,7,Fri,3
Firebrand,Drama,2019-02-22,112,5.2,Marathi,2019,2,Fri,1
Ghost Lab,Horror,2021-05-26,117,5.2,Thai,2021,5,Wed,2
Girlfriend's Day,Comedy,2017-02-14,70,5.2,English,2017,2,Tue,1
Handsome: A Netflix Mystery Movie,Comedy,2017-05-05,81,5.2,English,2017,5,Fri,2
Hubie Halloween,Comedy,2020-10-07,103,5.2,English,2020,10,Wed,4
Ibiza,Comedy,2018-05-25,94,5.2,English,2018,5,Fri,2
Rim of the World,Science_fiction/Adventure,2019-05-24,98,5.2,English,2019,5,Fri,2
Sandy Wexler,Comedy,2017-04-14,131,5.2,English,2017,4,Fri,2
See You Yesterday,Science_fiction,2019-05-17,87,5.2,English,2019,5,Fri,2
Still Laugh-In: The Stars Celebrate,Variety_show,2019-05-14,60,5.2,English,2019,5,Tue,2
"Strip Down, Rise Up",Documentary,2021-02-05,112,5.2,English,2021,2,Fri,1
Tall Girl,Comedy/Drama,2019-09-13,102,5.2,English,2019,9,Fri,3
The Beast,Drama,2020-11-27,99,5.2,Italian,2020,11,Fri,4
The Week Of,Comedy,2018-04-27,116,5.2,English,2018,4,Fri,2
A Christmas Prince: The Royal Wedding,Romantic/Comedy,2018-11-30,92,5.3,English,2018,11,Fri,4
Back to School,Comedy,2019-08-30,83,5.3,French,2019,8,Fri,3
Dangerous Lies,Thriller,2020-04-30,97,5.3,English,2020,4,Thu,2
Gunjan Saxena: The Kargil Girl,Drama,2020-08-12,112,5.3,Hindi,2020,8,Wed,3
Intuition,Thriller,2020-05-28,116,5.3,Spanish,2020,5,Thu,2
The Most Assassinated Woman in the World,Thriller,2018-09-07,102,5.3,French,2018,9,Fri,3
Things Heard & Seen,Horror,2021-04-29,121,5.3,English,2021,4,Thu,2
"To Each, Her Own",Romantic/Comedy,2018-06-24,95,5.3,French,2018,6,Sun,2
Who Would You Take to a Deserted Island?,Drama,2019-04-12,93,5.3,Spanish,2019,4,Fri,2
XOXO,Drama,2016-08-26,92,5.3,English,2016,8,Fri,3
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,2020-10-15,98,5.4,English,2020,10,Thu,4
A Christmas Prince: The Royal Baby,Romantic/Comedy,2019-12-05,85,5.4,English,2019,12,Thu,4
Despite Everything,Comedy,2019-05-03,78,5.4,Spanish,2019,5,Fri,2
Dolly Kitty and Those Twinkling Stars,Drama,2020-09-18,120,5.4,Hindi,2020,9,Fri,3
Freaks: You're One of Us,Supernatural/Drama,2020-09-02,92,5.4,German,2020,9,Wed,3
"Game Over, Man!",Action/Comedy,2018-03-23,101,5.4,English,2018,3,Fri,1
Guilty,Thriller,2020-03-06,119,5.4,Hindi,2020,3,Fri,1
In the Tall Grass,Horror,2019-10-04,101,5.4,English,2019,10,Fri,4
Madame Claude,Drama,2021-04-02,112,5.4,French,2021,4,Fri,2
Naked,Comedy,2017-08-11,96,5.4,English,2017,8,Fri,3
Outside the Wire,Action/Science_fiction,2021-01-15,114,5.4,English,2021,1,Fri,1
The Princess Switch: Switched Again,Romantic/Comedy,2020-11-19,97,5.4,English,2020,11,Thu,4
Under the Riccione Sun,Romantic/Teenage/Drama,2020-07-01,101,5.4,Italian,2020,7,Wed,3
A Very Murray Christmas,Comedy/Musical,2015-12-04,56,5.5,English,2015,12,Fri,4
Been So Long,Musical,2018-10-26,100,5.5,English,2018,10,Fri,4
Dead Kids,Thriller,2019-12-01,94,5.5,Filipino,2019,12,Sun,4
Get the Grift,Comedy,2021-04-28,94,5.5,Portuguese,2021,4,Wed,2
Ghosts of Sugar Land,Documentary,2019-10-16,21,5.5,English,2019,10,Wed,4
House Arrest,Comedy,2019-11-15,104,5.5,Hindi,2019,11,Fri,4
Kevin Hart's Guide to Black History,Variety_show,2019-02-08,63,5.5,English,2019,2,Fri,1
Love Wedding Repeat,Romantic/Comedy,2020-04-10,100,5.5,English,2020,4,Fri,2
Mute,Science_fiction/Mystery,2018-02-23,126,5.5,English,2018,2,Fri,1
Òlòt?ré,Crime/Drama,2020-10-02,106,5.5,English,2020,10,Fri,4
Red Dot,Thriller,2021-02-11,86,5.5,Swedish,2021,2,Thu,1
Ride or Die,Psychological/Thriller/Drama,2021-04-15,142,5.5,Japanese,2021,4,Thu,2
Step Sisters,Comedy,2018-01-19,108,5.5,English,2018,1,Fri,1
The Cloverfield Paradox,Science_fiction,2018-02-04,102,5.5,English,2018,2,Sun,1
The Knight Before Christmas,Romantic/Comedy,2019-11-21,92,5.5,English,2019,11,Thu,4
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,2018-07-06,83,5.5,English,2018,7,Fri,3
The Package,Black_comedy,2018-08-10,94,5.5,English,2018,8,Fri,3
Unicorn Store,Comedy,2019-04-05,92,5.5,English,2019,4,Fri,2
Wine Country,Comedy,2019-05-10,103,5.5,English,2019,5,Fri,2
Bomb Scared,Black_comedy,2017-10-12,89,5.6,Spanish/Basque,2017,10,Thu,4
Brahman Naman,Comedy,2016-07-07,95,5.6,English,2016,7,Thu,3
Double Dad,Comedy/Drama,2021-01-15,103,5.6,Portuguese,2021,1,Fri,1
Falling Inn Love,Romantic/Comedy,2019-08-29,97,5.6,English,2019,8,Thu,3
Hold the Dark,Thriller,2018-09-28,125,5.6,English,2018,9,Fri,3
"Love, Guaranteed",Romantic/Comedy,2020-09-03,91,5.6,English,2020,9,Thu,3
One-Way to Tomorrow,Romance,2020-06-19,90,5.6,Turkish,2020,6,Fri,2
Sarah Cooper: Everything's Fine,Variety_show,2020-10-27,49,5.6,English,2020,10,Tue,4
The Last Laugh,Comedy/Drama,2019-01-11,98,5.6,English,2019,1,Fri,1
The Last Paradiso,Romantic/Drama,2021-02-05,107,5.6,Italian,2021,2,Fri,1
The Midnight Sky,Science_fiction,2020-12-23,118,5.6,English,2020,12,Wed,4
The Paramedic,Thriller,2020-09-16,94,5.6,Spanish,2020,9,Wed,3
The Sleepover,Comedy,2020-08-21,103,5.6,English,2020,8,Fri,3
Vampires vs. the Bronx,Horror/Comedy,2020-10-02,86,5.6,English,2020,10,Fri,4
Why Did You Kill Me?,Documentary,2021-04-14,83,5.6,English,2021,4,Wed,2
A Week Away,Christian_musical,2021-03-26,97,5.7,English,2021,3,Fri,1
Caught by a Wave,Romantic/Teen/Drama,2021-03-25,99,5.7,Italian,2021,3,Thu,1
Christmas Inheritance,Romantic/Drama,2017-12-15,104,5.7,English,2017,12,Fri,4
Dad Wanted,Family,2020-09-11,102,5.7,Spanish,2020,9,Fri,3
El Camino Christmas,Dark_comedy,2017-12-08,89,5.7,English,2017,12,Fri,4
Eli,Horror,2019-10-18,98,5.7,English,2019,10,Fri,4
Ginny Weds Sunny,Romantic/Comedy,2020-10-09,125,5.7,Hindi,2020,10,Fri,4
Good Sam,Drama,2019-05-16,89,5.7,English,2019,5,Thu,2
Lionheart,Comedy,2019-01-04,94,5.7,English,2019,1,Fri,1
Little Evil,Comedy/Horror,2017-09-01,94,5.7,English,2017,9,Fri,3
One Take,Documentary,2020-06-18,85,5.7,Thai,2020,6,Thu,2
"Out of Many, One",Documentary,2018-12-12,34,5.7,English,2018,12,Wed,4
Point Blank,Action,2019-07-12,86,5.7,English,2019,7,Fri,3
Prime Time,Thriller,2021-04-14,91,5.7,Polish,2021,4,Wed,2
The Do-Over,Action/Comedy,2016-05-27,108,5.7,English,2016,5,Fri,2
The Holiday Calendar,Romantic/Comedy,2018-11-02,95,5.7,English,2018,11,Fri,4
The Woman in the Window,Psychological/Thriller,2021-05-14,100,5.7,English,2021,5,Fri,2
The Wrong Missy,Comedy,2020-05-13,90,5.7,English,2020,5,Wed,2
